scenario,method,tol,window_s,sat,rho
S0 Nominal (5%/10s),PPO,0.05,10.0,1.0,0.04391719582151409
S0 Nominal (5%/10s),PPO+STL,0.05,10.0,1.0,0.04391719582935487
S0 Nominal (5%/10s),PPO+CONF,0.05,10.0,1.0,0.043917195805709096
S1 Mild (4%/8s),PPO,0.04,8.0,1.0,0.03063728902007922
S1 Mild (4%/8s),PPO+STL,0.04,8.0,1.0,0.03029373816959401
S1 Mild (4%/8s),PPO+CONF,0.04,8.0,1.0,0.030771450040474026
S2 Moderate (3%/6s),PPO,0.03,6.0,1.0,0.02226743304741558
S2 Moderate (3%/6s),PPO+STL,0.03,6.0,0.8,-0.035312365059834386
S2 Moderate (3%/6s),PPO+CONF,0.03,6.0,1.0,0.020615861154139246
S3 Strong (2%/5s),PPO,0.02,5.0,0.6,0.0032446729834172024
S3 Strong (2%/5s),PPO+STL,0.02,5.0,1.0,0.006399175489291376
S3 Strong (2%/5s),PPO+CONF,0.02,5.0,0.8,0.00223363607769011
